epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8706,1.24247,1.84444,1.14661,0.79005,0.70569,0.70533,0.44929,1.20766,1.74949,1.13515,0.00066,0.00066,0.00066
2,98.746,1.22705,0.98244,1.11921,0.89132,0.81139,0.86079,0.51727,1.31746,0.98369,1.22791,0.0013004,0.0013004,0.0013004
3,146.064,1.24097,0.80358,1.13606,0.84045,0.75832,0.82085,0.47464,1.42693,1.11903,1.30686,0.0019144,0.0019144,0.0019144
4,194.031,1.24682,0.75008,1.14054,0.86961,0.81139,0.87871,0.54256,1.30762,1.14822,1.20726,0.0018812,0.0018812,0.0018812
5,240.736,1.20578,0.68606,1.12064,0.93193,0.88292,0.91804,0.58849,1.26495,0.69719,1.21432,0.0018416,0.0018416,0.0018416
6,286.319,1.19047,0.64335,1.11036,0.96465,0.89339,0.94105,0.62869,1.2025,0.61493,1.14263,0.001802,0.001802,0.001802
7,331.899,1.17314,0.63357,1.09905,0.97031,0.89333,0.94032,0.63067,1.19087,0.61734,1.13279,0.0017624,0.0017624,0.0017624
8,377.268,1.16352,0.61424,1.09299,0.94851,0.89977,0.93581,0.61743,1.23275,0.59601,1.15205,0.0017228,0.0017228,0.0017228
9,422.989,1.15648,0.58988,1.08717,0.96861,0.91379,0.9543,0.63918,1.18926,0.56096,1.13421,0.0016832,0.0016832,0.0016832
10,468.251,1.13988,0.58209,1.08336,0.96867,0.91982,0.95542,0.64368,1.18811,0.52375,1.11605,0.0016436,0.0016436,0.0016436
11,513.623,1.1267,0.56897,1.07736,0.98101,0.91845,0.95209,0.65382,1.16702,0.52864,1.1026,0.001604,0.001604,0.001604
12,559.042,1.12494,0.55614,1.07059,0.95741,0.92301,0.94803,0.64896,1.17277,0.55846,1.12549,0.0015644,0.0015644,0.0015644
13,604.248,1.11294,0.54895,1.07079,0.98328,0.91078,0.95463,0.66098,1.14609,0.52628,1.09752,0.0015248,0.0015248,0.0015248
14,649.534,1.10961,0.53901,1.07091,0.97522,0.9221,0.95644,0.6488,1.16244,0.52034,1.1083,0.0014852,0.0014852,0.0014852
15,694.915,1.10335,0.54037,1.06164,0.97266,0.92399,0.95653,0.67452,1.11522,0.49328,1.08553,0.0014456,0.0014456,0.0014456
16,740.337,1.09385,0.52448,1.06311,0.98004,0.92802,0.96346,0.67239,1.12111,0.47932,1.08225,0.001406,0.001406,0.001406
17,786.771,1.0939,0.52411,1.0601,0.97716,0.92893,0.96052,0.67101,1.11145,0.48546,1.07778,0.0013664,0.0013664,0.0013664
18,833.842,1.07519,0.51351,1.05302,0.98524,0.9262,0.96688,0.68386,1.10777,0.47822,1.07638,0.0013268,0.0013268,0.0013268
19,879.211,1.08796,0.51542,1.05899,0.97384,0.92528,0.96431,0.67616,1.13733,0.47861,1.09166,0.0012872,0.0012872,0.0012872
20,924.899,1.07466,0.50153,1.0496,0.98271,0.92893,0.96308,0.68281,1.10509,0.46415,1.07841,0.0012476,0.0012476,0.0012476
21,970.313,1.0715,0.49922,1.04817,0.98013,0.91891,0.95948,0.67379,1.11823,0.47756,1.08157,0.001208,0.001208,0.001208
22,1015.66,1.07006,0.5008,1.05033,0.98273,0.93341,0.9696,0.68598,1.10704,0.45572,1.07379,0.0011684,0.0011684,0.0011684
23,1061.11,1.0676,0.49126,1.04988,0.97972,0.93257,0.96599,0.67887,1.1118,0.4565,1.07047,0.0011288,0.0011288,0.0011288
24,1106.58,1.05619,0.48553,1.04408,0.97156,0.94305,0.96747,0.68285,1.08006,0.44797,1.06328,0.0010892,0.0010892,0.0010892
